iteration,inputSize,elapsedTicks,elapsedSec
1,200,6,0.006000
2,300,6,0.006000
3,400,5,0.005000
4,500,6,0.006000
5,600,6,0.006000
6,700,6,0.006000
7,800,6,0.006000
8,900,5,0.005000
9,1000,6,0.006000
10,1100,6,0.006000
11,1200,5,0.005000
12,1300,6,0.006000
13,1400,6,0.006000
14,1500,6,0.006000
15,1600,6,0.006000
16,1700,6,0.006000
17,1800,5,0.005000
18,1900,7,0.007000
19,2000,6,0.006000
20,2100,5,0.005000
21,2200,6,0.006000
22,2300,5,0.005000
23,2400,6,0.006000
24,2500,7,0.007000
25,2600,6,0.006000
26,2700,6,0.006000
27,2800,6,0.006000
28,2900,6,0.006000
29,3000,6,0.006000
30,3100,6,0.006000
31,3200,6,0.006000
32,3300,6,0.006000
33,3400,6,0.006000
34,3500,6,0.006000
35,3600,6,0.006000
36,3700,6,0.006000
37,3800,6,0.006000
38,3900,6,0.006000
39,4000,6,0.006000
40,4100,6,0.006000
41,4200,6,0.006000
42,4300,6,0.006000
43,4400,6,0.006000
44,4500,6,0.006000
45,4600,5,0.005000
46,4700,6,0.006000
47,4800,6,0.006000
48,4900,6,0.006000
49,5000,6,0.006000
50,5100,6,0.006000
avgticks,5
avgsec,0.005900
