iteration,inputSize,elapsedTicks,elapsedSec
1,200,1,0.001000
2,300,0,0.000000
3,400,0,0.000000
4,500,0,0.000000
5,600,0,0.000000
6,700,1,0.001000
7,800,0,0.000000
8,900,1,0.001000
9,1000,0,0.000000
10,1100,1,0.001000
11,1200,0,0.000000
12,1300,2,0.002000
13,1400,0,0.000000
14,1500,1,0.001000
15,1600,2,0.002000
16,1700,1,0.001000
17,1800,1,0.001000
18,1900,1,0.001000
19,2000,1,0.001000
20,2100,2,0.002000
21,2200,0,0.000000
22,2300,3,0.003000
23,2400,3,0.003000
24,2500,27,0.027000
25,2600,34,0.034000
26,2700,12,0.012000
27,2800,22,0.022000
28,2900,24,0.024000
29,3000,28,0.028000
30,3100,22,0.022000
31,3200,21,0.021000
32,3300,13,0.013000
33,3400,24,0.024000
34,3500,26,0.026000
35,3600,29,0.029000
36,3700,42,0.042000
37,3800,31,0.031000
38,3900,15,0.015000
39,4000,25,0.025000
40,4100,31,0.031000
41,4200,21,0.021000
42,4300,39,0.039000
43,4400,33,0.033000
44,4500,29,0.029000
45,4600,57,0.057000
46,4700,39,0.039000
47,4800,21,0.021000
48,4900,39,0.039000
49,5000,61,0.061000
50,5100,32,0.032000
51,5200,45,0.045000
52,5300,46,0.046000
53,5400,35,0.035000
54,5500,63,0.063000
55,5600,33,0.033000
56,5700,42,0.042000
57,5800,46,0.046000
58,5900,43,0.043000
59,6000,32,0.032000
60,6100,48,0.048000
61,6200,44,0.044000
62,6300,44,0.044000
63,6400,56,0.056000
64,6500,63,0.063000
65,6600,50,0.050000
66,6700,46,0.046000
67,6800,89,0.089000
68,6900,35,0.035000
69,7000,61,0.061000
70,7100,66,0.066000
71,7200,70,0.070000
72,7300,51,0.051000
73,7400,78,0.078000
74,7500,47,0.047000
75,7600,73,0.073000
76,7700,44,0.044000
77,7800,55,0.055000
78,7900,72,0.072000
79,8000,68,0.068000
80,8100,55,0.055000
81,8200,71,0.071000
82,8300,54,0.054000
83,8400,51,0.051000
84,8500,101,0.101000
85,8600,69,0.069000
86,8700,73,0.073000
87,8800,52,0.052000
88,8900,65,0.065000
89,9000,66,0.066000
90,9100,80,0.080000
91,9200,109,0.109000
92,9300,76,0.076000
93,9400,60,0.060000
94,9500,74,0.074000
95,9600,70,0.070000
96,9700,59,0.059000
97,9800,72,0.072000
98,9900,52,0.052000
99,10000,85,0.085000
100,10100,88,0.088000
avgticks,38
avgsec,0.038450
