iteration,inputSize,elapsedTicks,elapsedSec
1,200,0,0.000000
2,300,0,0.000000
3,400,0,0.000000
4,500,2,0.002000
5,600,1,0.001000
6,700,0,0.000000
7,800,2,0.002000
8,900,3,0.003000
9,1000,1,0.001000
10,1100,3,0.003000
11,1200,4,0.004000
12,1300,3,0.003000
13,1400,3,0.003000
14,1500,5,0.005000
15,1600,5,0.005000
16,1700,6,0.006000
17,1800,7,0.007000
18,1900,9,0.009000
19,2000,12,0.012000
20,2100,12,0.012000
21,2200,10,0.010000
22,2300,14,0.014000
23,2400,18,0.018000
24,2500,14,0.014000
25,2600,16,0.016000
26,2700,16,0.016000
27,2800,18,0.018000
28,2900,19,0.019000
29,3000,20,0.020000
30,3100,23,0.023000
31,3200,20,0.020000
32,3300,31,0.031000
33,3400,26,0.026000
34,3500,26,0.026000
35,3600,31,0.031000
36,3700,30,0.030000
37,3800,32,0.032000
38,3900,41,0.041000
39,4000,34,0.034000
40,4100,37,0.037000
41,4200,38,0.038000
42,4300,38,0.038000
43,4400,42,0.042000
44,4500,43,0.043000
45,4600,47,0.047000
46,4700,48,0.048000
47,4800,51,0.051000
48,4900,51,0.051000
49,5000,53,0.053000
50,5100,54,0.054000
51,5200,67,0.067000
52,5300,61,0.061000
53,5400,75,0.075000
54,5500,66,0.066000
55,5600,68,0.068000
56,5700,64,0.064000
57,5800,68,0.068000
58,5900,73,0.073000
59,6000,76,0.076000
60,6100,72,0.072000
61,6200,80,0.080000
62,6300,81,0.081000
63,6400,82,0.082000
64,6500,91,0.091000
65,6600,89,0.089000
66,6700,97,0.097000
67,6800,98,0.098000
68,6900,138,0.138000
69,7000,147,0.147000
70,7100,158,0.158000
71,7200,139,0.139000
72,7300,140,0.140000
73,7400,162,0.162000
74,7500,274,0.274000
75,7600,216,0.216000
76,7700,226,0.226000
77,7800,181,0.181000
78,7900,148,0.148000
79,8000,142,0.142000
80,8100,207,0.207000
81,8200,182,0.182000
82,8300,139,0.139000
83,8400,138,0.138000
84,8500,144,0.144000
85,8600,146,0.146000
86,8700,144,0.144000
87,8800,167,0.167000
88,8900,163,0.163000
89,9000,176,0.176000
90,9100,170,0.170000
91,9200,169,0.169000
92,9300,166,0.166000
93,9400,180,0.180000
94,9500,177,0.177000
95,9600,175,0.175000
96,9700,183,0.183000
97,9800,184,0.184000
98,9900,195,0.195000
99,10000,269,0.269000
100,10100,302,0.302000
avgticks,81
avgsec,0.081740
